Player_number,Age,Years,Value,Ave_Salary,Max Value,Year,Year_1,Year _2,VORP_0
213,23.1,2,3241703,1620852,3241703,2021,2020,2019,1.3
214,28.2,1,2389641,2389641,2389641,2021,2020,2019,-0.1
215,36.2,2,14350000,7175000,14350000,2021,2020,2019,0
216,32.4,1,2641691,2641691,2641691,2021,2020,2019,0
217,32.9,2,12074500,6037250,12074500,2021,2020,2019,0
218,36.6,1,2641691,2641691,2641691,2021,2020,2019,0.3
219,35.5,1,2641691,2641691,2641691,2021,2020,2019,0.9
220,29.2,1,2089448,2089448,2089448,2021,2020,2019,0
221,30.3,3,30038400,10012800,30038400,2021,2020,2019,-0.4
222,31.2,2,21599760,10799880,21599760,2021,2020,2019,0.6
223,21.4,1,1489065,1489065,1489065,2021,2020,2019,1.1
224,27.8,4,46522560,11630640,46522560,2021,2020,2019,1.3
225,33.3,1,5000000,5000000,5000000,2021,2020,2019,-0.2
226,28.8,1,2239544,2239544,2239544,2021,2020,2019,0.1
227,34.9,3,18553500,6184500,18553500,2021,2020,2019,0.1
228,27.5,1,1789256,1789256,1789256,2021,2020,2019,0
229,22.1,3,5143840,1714613,5143840,2021,2020,2019,0.6
230,27.2,1,1789256,1789256,1789256,2021,2020,2019,0
231,26.7,1,1789256,1789256,1789256,2021,2020,2019,0.1
232,27.9,1,1789256,1789256,1789256,2021,2020,2019,0.2
233,30.3,1,2389641,2389641,2389641,2021,2020,2019,1.5
234,28.3,3,54000000,18000000,54000000,2021,2020,2019,0.4
235,25.2,1,2089448,2089448,2089448,2021,2020,2019,-0.1
236,26.4,2,6000000,3000000,6000000,2021,2020,2019,0
237,24.2,2,3607937,1803969,3607937,2021,2020,2019,0
238,29.3,4,33600000,8400000,33600000,2021,2020,2019,-1.5
239,25.7,1,1669178,1669178,1669178,2021,2020,2019,0
240,36.1,2,10065500,5032750,10065500,2021,2020,2019,-0.1
241,20.7,3,30780000,10260000,30780000,2021,2020,2019,0.1
242,24.2,2,8000000,4000000,8000000,2021,2020,2019,0.6
243,29.0,2,3607937,1803969,3607937,2021,2020,2019,0.3
244,25.8,1,1729217,1729217,1729217,2021,2020,2019,1.2
245,29.3,4,75000000,18750000,75000000,2021,2020,2019,0.9
246,26.3,1,1939350,1939350,1939350,2021,2020,2019,0.4
247,23.6,2,3825574,1912787,3825574,2021,2020,2019,0
248,29.8,1,2389641,2389641,2389641,2021,2020,2019,-0.2
