,PLAYER,,Real Salary,Year
297,Ed Davis,"$2,641,691","$2,881,021",2022
297,James Johnson,"$2,641,691","$2,881,021",2022
297,LaMarcus Aldridge,"$2,641,691","$2,881,021",2022
311,Grant Williams,"$2,617,800","$2,854,966",2022
312,Tyrese Maxey,"$2,602,920","$2,838,738",2022
313,Keon Johnson,"$2,553,240","$2,784,557",2022
314,Darius Bazley,"$2,513,040","$2,740,715",2022
315,Trey Lyles,"$2,500,000","$2,726,493",2022
316,Zeke Nnaji,"$2,498,760","$2,725,141",2022
317,Isaiah Jackson,"$2,451,240","$2,673,316",2022
318,Ty Jerome,"$2,412,840","$2,631,437",2022
319,Hassan Whiteside,"$2,401,537","$2,619,110",2022
319,Kent Bazemore,"$2,401,537","$2,619,110",2022
319,Austin Rivers,"$2,401,537","$2,619,110",2022
319,Andre Drummond,"$2,401,537","$2,619,110",2022
323,Cody Zeller,"$2,389,641","$2,606,136",2022
323,Ben McLemore,"$2,389,641","$2,606,136",2022
323,Solomon Hill,"$2,389,641","$2,606,136",2022
323,Tony Snell,"$2,389,641","$2,606,136",2022
323,Victor Oladipo,"$2,389,641","$2,606,136",2022
323,Otto Porter,"$2,389,641","$2,606,136",2022
329,Leandro Bolmaro,"$2,353,320","$2,566,525",2022
329,Usman Garuba,"$2,353,320","$2,566,525",2022
331,Willy Hernangomez,"$2,327,220","$2,538,060",2022
332,Edmond Sumner,"$2,320,000","$2,530,186",2022
333,Nassir Little,"$2,316,240","$2,526,085",2022
334,RJ Hampton,"$2,303,040","$2,511,689",2022
335,DeAndre Bembry,"$2,271,045","$2,476,795",2022
336,Josh Christopher,"$2,259,240","$2,463,921",2022
337,Monta Ellis,"$2,245,400","$2,448,827",2022
338,Drew Eubanks,"$2,239,820","$2,442,742",2022
339,Elfrid Payton,"$2,239,544","$2,442,441",2022
339,Rodney Hood,"$2,239,544","$2,442,441",2022
341,Dylan Windler,"$2,239,200","$2,442,066",2022
342,Immanuel Quickley,"$2,210,640","$2,410,918",2022
343,John Konchar,"$2,200,000","$2,399,314",2022
344,Quentin Grimes,"$2,168,640","$2,365,113",2022
345,Jordan Poole,"$2,161,440","$2,357,261",2022
346,Bol Bol,"$2,161,152","$2,356,947",2022
