Player,Pos,Age,Type,FROM,TO,Years,Value,Ave_Salary,Max Value,Year,Year_1,Year _2,Count Records 0,Count Records 1,Count Records 2,VORP_0,VORP_1,VORP_2,MP_0,MP_1,MP_2
Bruce Brown Jr.,SG,24.9,RFA,BKN,BKN,1,4736102,4736102,4736102,2021,2020,2019,1 ,1 ,,0.3,1.5,,,,
Bryn Forbes,SG,28.1,UFA,MIL,SAS,1,4500000,4500000,4500000,2021,2020,2019,1 ,1 ,,0.1,0.5,,,,
Cameron Payne,PG,26.9,UFA,PHX,PHX,3,19000000,6333333,19000000,2021,2020,2019,1 ,1 ,,-0.4,0.4,,,,
Carmelo Anthony,PF,37.2,UFA,POR,LAL,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,-1,0.2,,,,
Cassius Stanley,SG,22.1,UFA,IND,DET,1,1489065,1489065,1489065,2021,2020,2019,1 ,1 ,,-0.3,0.2,,,,
Chasson Randle,PG,28.6,UFA,ORL,PHX,1,1789256,1789256,1789256,2021,2020,2019,1 ,1 ,,0.1,-0.2,,,,
Chris Paul,PG,36.2,UFA,PHX,PHX,4,120000000,30000000,120000000,2021,2020,2019,1 ,1 ,,0.4,0.5,,,,
Chris Silva,F,25.0,UFA,SAC,MIN,1,1669178,1669178,1669178,2021,2020,2019,1 ,1 ,,0.3,0.3,,,,
Cody Zeller,C,28.8,UFA,CHA,POR,1,2389641,2389641,2389641,2021,2020,2019,1 ,1 ,,0.1,0.1,,,,
Cory Joseph,PG,29.9,UFA,DET,DET,2,10065500,5032750,10065500,2021,2020,2019,1 ,1 ,,0.2,0.3,,,,
Daniel Theis,C,29.3,UFA,CHI,HOU,4,35605510,8901378,35605510,2021,2020,2019,1 ,1 ,,0.6,1.3,,,,
Danny Green,SG,34.1,UFA,PHI,PHI,2,20000000,10000000,20000000,2021,2020,2019,1 ,1 ,,-0.6,-0.2,,,,
Dante Exum,PG,26.2,UFA,HOU,HOU,3,8100000,2700000,8100000,2021,2020,2019,1 ,1 ,,-0.1,1,,,,
DaQuan Jeffries,SG,24.4,UFA,SAS,ATL,1,1669178,1669178,1669178,2021,2020,2019,1 ,1 ,,0.5,0.3,,,,
David Nwaba,SG,28.5,UFA,HOU,HOU,3,15000000,5000000,15000000,2021,2020,2019,1 ,1 ,,0.7,1,,,,
DeAndre Jordan,C,33.1,UFA,DET,LAL,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,0.2,0.5,,,,
DeAndre' Bembry,SF,27.1,UFA,TOR,BKN,1,1939350,1939350,1939350,2021,2020,2019,1 ,1 ,,0.5,-0.1,,,,
Deividas Sirvydis,SF,21.2,UFA,DET,DET,1,1669178,1669178,1669178,2021,2020,2019,1 ,1 ,,0,0,,,,
DeMar DeRozan,SF,32.0,UFA,SAS,CHI,3,85000000,28333333,85000000,2021,2020,2019,1 ,1 ,,-0.3,-0.1,,,,
Dennis Schröder,PG,27.8,UFA,LAL,BOS,1,5890000,5890000,5890000,2021,2020,2019,1 ,1 ,,1.4,2.9,,,,
Dennis Smith Jr.,PG,23.8,UFA,DET,POR,1,1789256,1789256,1789256,2021,2020,2019,1 ,1 ,,0.1,1.5,,,,
Denzel Valentine,SG,27.8,UFA,CHI,CLE,2,4133270,2066635,4133270,2021,2020,2019,1 ,1 ,,1.6,1.3,,,,
Derrick Rose,PG,32.8,UFA,NYK,NYK,3,43562189,14520730,43562189,2021,2020,2019,1 ,1 ,,1.1,1.4,,,,
Devonte' Graham,PG,26.4,RFA,CHA,NOP,4,47300000,11825000,47300000,2021,2020,2019,1 ,1 ,,-0.2,0.2,,,,
Dewayne Dedmon,C,31.9,UFA,MIA,MIA,1,2389641,2389641,2389641,2021,2020,2019,1 ,1 ,,0.1,0,,,,
Didi Louzada,SF,22.5,RFA,NOP,NOP,4,7686312,1921578,7686312,2021,2020,2019,1 ,1 ,,2,1.7,,,,
DJ Wilson,PF,25.6,UFA,HOU,OKC,1,1789256,1789256,1789256,2021,2020,2019,1 ,1 ,,0,-0.1,,,,
Doug McDermott,SF,29.6,UFA,IND,SAS,3,42000000,14000000,42000000,2021,2020,2019,1 ,1 ,,0.2,-0.7,,,,
Duncan Robinson,SF,27.2,RFA,MIA,MIA,5,90000000,18000000,90000000,2021,2020,2019,1 ,1 ,,0.8,1.7,,,,
Dwayne Bacon,SG,25.9,UFA,ORL,NYK,1,1789256,1789256,1789256,2021,2020,2019,0 ,0 ,,0,0,,,,
Dwight Howard,C,35.6,UFA,PHI,LAL,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,0.4,-0.2,,,,
E'Twaun Moore,SG,32.5,UFA,PHX,ORL,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,-0.7,0.1,,,,
Elfrid Payton,PG,27.4,UFA,NYK,PHX,1,2239544,2239544,2239544,2021,2020,2019,1 ,1 ,,0.3,0,,,,
Enes Freedom,C,29.2,UFA,POR,BOS,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,0.5,0,,,,
Evan Fournier,SG,28.8,UFA,BOS,NYK,4,73000000,18250000,73000000,2021,2020,2019,1 ,1 ,,0,-0.1,,,,
Frank Jackson,PG,23.2,RFA,DET,DET,2,6150000,3075000,6150000,2021,2020,2019,1 ,1 ,,1.6,1,,,,
Frank Kaminsky,C,28.3,UFA,PHX,PHX,1,2089448,2089448,2089448,2021,2020,2019,1 ,1 ,,1.2,1,,,,
Frank Ntilikina,PG,23.1,UFA,NYK,DAL,2,3825574,1912787,3825574,2021,2020,2019,1 ,1 ,,0.3,0.1,,,,
Gabe Vincent,PG,25.1,RFA,MIA,MIA,2,3484855,1742428,3484855,2021,2020,2019,1 ,0 ,,0,0,,,,
Garrett Temple,SG,35.2,UFA,CHI,NOP,3,15466500,5155500,15466500,2021,2020,2019,1 ,1 ,,0.5,0.4,,,,
Garrison Mathews,SG,24.9,UFA,WAS,BOS,1,1669178,1669178,1669178,2021,2020,2019,1 ,1 ,,0,-0.4,,,,
Gary Trent Jr.,SG,22.5,RFA,TOR,TOR,3,51840000,17280000,51840000,2021,2020,2019,1 ,1 ,,0.3,-0.6,,,,
George Hill,PG,35.2,UFA,PHI,MIL,2,8000000,4000000,8000000,2021,2020,2019,0 ,0 ,,0,0,,,,
Georges Niang,PF,28.1,UFA,UTH,PHI,2,6765000,3382500,6765000,2021,2020,2019,1 ,1 ,,0,0,,,,
Gorgui Dieng,C,31.5,UFA,SAS,ATL,1,4000000,4000000,4000000,2021,2020,2019,0 ,0 ,,0,0,,,,
Hamidou Diallo,SG,23.0,RFA,DET,DET,2,10400000,5200000,10400000,2021,2020,2019,1 ,1 ,,-0.4,-0.3,,,,
Harry Giles,C,23.3,UFA,POR,LAC,1,1789256,1789256,1789256,2021,2020,2019,1 ,1 ,,0.5,-0.1,,,,
Hassan Whiteside,C,32.1,UFA,SAC,UTH,1,2401537,2401537,2401537,2021,2020,2019,1 ,1 ,,-0.1,0.1,,,,
Isaac Bonga,SF,21.8,UFA,WAS,TOR,1,1729217,1729217,1729217,2021,2020,2019,1 ,1 ,,0.7,0.5,,,,
Ishmael Smith,PG,33.1,UFA,WAS,CHA,2,9225000,4612500,9225000,2021,2020,2019,1 ,1 ,,-0.1,0,,,,
Jahlil Okafor,C,25.8,UFA,BKN,ATL,1,2089448,2089448,2089448,2021,2020,2019,1 ,1 ,,-0.2,0,,,,
James Johnson,PF,34.4,UFA,NOP,BKN,1,2641691,2641691,2641691,2021,2020,2019,1 ,1 ,,1.2,0.9,,,,
JaMychal Green,PF,31.1,UFA,DEN,DEN,2,16400000,8200000,16400000,2021,2020,2019,1 ,1 ,,0.1,1.6,,,,
Jared Harper,PG,24.0,UFA,NYK,NYK,1,1669178,1669178,1669178,2021,2020,2019,1 ,1 ,,0.1,-0.4,,,,
Jarred Vanderbilt,PF,22.4,RFA,MIN,MIN,3,13122000,4374000,13122000,2021,2020,2019,1 ,1 ,,-0.1,0.1,,,,
Jarrell Brantley,PF,2021.7,RFA,UTH,UTH,1,1669178,1669178,1669178,2021,2020,2019,1 ,1 ,,1.2,0.7,,,,
Jarrett Allen,C,23.2,RFA,CLE,CLE,5,100000000,20000000,100000000,2021,2020,2019,1 ,1 ,,0.1,0,,,,
JaVale McGee,C,33.5,UFA,DEN,PHX,1,5000000,5000000,5000000,2021,2020,2019,1 ,1 ,,0.4,-0.1,,,,
Javonte Green,SG,28.0,RFA,CHI,CHI,2,3484855,1742428,3484855,2021,2020,2019,1 ,1 ,,-0.1,-0.1,,,,
Jeff Green,PF,34.9,UFA,BKN,DEN,2,9000000,4500000,9000000,2021,2020,2019,1 ,1 ,,0.5,-0.1,,,,
Jock Landale,C,25.8,UFA,,SAS,2,2488776,1244388,2488776,2021,2020,2019,1 ,1 ,,0,-0.2,,,,
John Collins,PF,23.8,RFA,ATL,ATL,5,125000000,25000000,125000000,2021,2020,2019,1 ,1 ,,-0.1,0,,,,
Jordan Bell,C,26.7,UFA,GSW,GSW,1,1789256,1789256,1789256,2021,2020,2019,1 ,1 ,,-0.1,0,,,,
Jordan McLaughlin,PG,25.4,RFA,MIN,MIN,3,6480000,2160000,6480000,2021,2020,2019,1 ,1 ,,0,0.1,,,,
Josh Hart,SG,26.4,RFA,NOP,NOP,3,37920000,12640000,37920000,2021,2020,2019,1 ,0 ,,-0.1,0,,,,
Justise Winslow,SF,25.3,UFA,MEM,LAC,2,8000000,4000000,8000000,2021,2020,2019,1 ,1 ,,0.2,0.2,,,,
Juwan Morgan,SF,24.3,UFA,UTH,BOS,1,1669178,1669178,1669178,2021,2020,2019,1 ,1 ,,1.1,1.2,,,,
Kawhi Leonard,SF,30.1,UFA,LAC,LAC,4,176265152,44066288,176265152,2021,2020,2019,1 ,1 ,,3.6,3.5,,,,
Keita Bates-Diop,SF,25.6,RFA,SAS,SAS,2,3607937,1803969,3607937,2021,2020,2019,1 ,1 ,,-0.2,0,,,,
Kelly Olynyk,PF,30.2,UFA,HOU,DET,3,37195122,12398374,37195122,2021,2020,2019,1 ,1 ,,-0.1,-0.2,,,,
Kelly Oubre Jr.,SF,25.6,UFA,GSW,CHA,2,25000000,12500000,25000000,2021,2020,2019,1 ,1 ,,1,1.6,,,,
Kemba Walker,PG,31.2,UFA,OKC,NYK,2,17894491,8947246,17894491,2021,2020,2019,1 ,1 ,,-0.1,0.6,,,,
