Unnamed: 0,PLAYER,Unnamed: 2,Real Salary,Year,New Player Name,Count Records,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
,,,,2022,Jared Butler,1.0,Jared Butler,SG,21.0,UTA,42.0,360.0,12.1,0.509,0.583,0.106,1.6,11.8,6.8,26.0,2.3,2.0,17.3,23.1,0.0,0.5,0.4,0.057,-2.3,0.7,-1.6,0.0,butleja02
,,,,2019,Jared Dudley,1.0,Jared Dudley,PF,33.0,BRK,59.0,1220.0,7.8,0.554,0.632,0.192,2.9,10.4,6.7,9.2,1.4,1.0,14.2,10.4,0.6,1.2,1.8,0.07,-2.9,1.1,-1.8,0.1,dudleja01
,,,,2020,Jared Dudley,1.0,Jared Dudley,PF,34.0,LAL,45.0,364.0,7.8,0.558,0.7,0.033,1.8,13.7,7.8,9.5,2.0,0.7,11.6,8.0,0.3,0.5,0.8,0.102,-2.7,2,-0.7,0.1,dudleja01
,,,,2021,Jared Dudley,1.0,Jared Dudley,PF,35.0,LAL,12.0,81.0,4.4,0.333,0.667,0.0,5.6,23.5,14.6,7.6,0.6,1.1,18.2,5.9,0.0,0.1,0.1,0.053,-4.4,0.9,-3.5,0.0,dudleja01
,,,,2020,Jared Harper,1.0,Jared Harper,PG,22.0,PHO,3.0,8.0,-5.3,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,-0.249,-10.1,-5.6,-15.7,0.0,harpeja01
,,,,2021,Jared Harper,1.0,Jared Harper,PG,23.0,NYK,8.0,16.0,-10.8,0.26,0.25,1.0,0.0,13.4,6.8,7.7,0.0,0.0,34.2,24.4,-0.1,0.0,-0.1,-0.365,-16.6,-5.5,-22.1,-0.1,harpeja01
,,,,2022,Jared Harper,1.0,Jared Harper,PG,24.0,NOP,5.0,43.0,36.9,0.666,0.462,0.154,5.0,0.0,2.6,64.1,4.6,2.2,6.7,29.7,0.3,0.1,0.4,0.422,14.2,3.1,17.3,0.2,harpeja01
,,,,2019,Jared Terrell,1.0,Jared Terrell,SG,23.0,MIN,14.0,111.0,0.7,0.372,0.436,0.154,1.0,4.9,2.9,14.4,1.3,1.5,19.4,19.6,-0.4,0.0,-0.3,-0.14,-8.5,-2.3,-10.9,-0.2,terreja01
,,,,2019,Jarell Martin,1.0,Jarell Martin,PF,24.0,ORL,42.0,328.0,9.4,0.528,0.548,0.106,3.5,20.5,11.9,7.8,0.4,2.0,9.2,15.9,0.1,0.4,0.5,0.073,-3.7,-0.2,-3.9,-0.2,martija01
,,,,2019,Jaren Jackson Jr.,1.0,Jaren Jackson Jr.,PF,19.0,MEM,58.0,1515.0,16.4,0.591,0.241,0.334,5.3,15.0,10.1,7.2,1.7,5.1,12.7,22.8,1.2,2.2,3.3,0.105,-1.2,1,-0.3,0.7,jacksja02
,,,,2020,Jaren Jackson Jr.,1.0,Jaren Jackson Jr.,C,20.0,MEM,57.0,1622.0,16.3,0.593,0.489,0.247,3.6,13.2,8.5,7.2,1.2,5.0,10.6,24.0,1.6,1.8,3.5,0.103,0.3,0.1,0.4,1.0,jacksja02
,,,,2021,Jaren Jackson Jr.,1.0,Jaren Jackson Jr.,C,21.0,MEM,11.0,258.0,18.0,0.551,0.48,0.336,6.9,18.7,12.7,6.8,2.2,6.3,9.5,25.9,0.2,0.5,0.7,0.123,-0.7,0.7,0.1,0.1,jacksja02
,,,,2022,Jaren Jackson Jr.,1.0,Jaren Jackson Jr.,PF,22.0,MEM,78.0,2126.0,17.0,0.535,0.387,0.333,5.7,16.9,11.2,5.8,1.6,7.4,9.9,25.4,1.7,3.7,5.4,0.121,-0.9,0.8,-0.1,1.0,jacksja02
,,,,2019,Jaron Blossomgame,1.0,Jaron Blossomgame,SF,25.0,CLE,27.0,439.0,10.2,0.51,0.368,0.123,6.3,19.1,12.4,4.2,0.8,1.6,9.0,12.2,0.2,0.1,0.3,0.03,-1.9,-1.8,-3.8,-0.2,blossja01
,,,,2019,Jarred Vanderbilt,1.0,Jarred Vanderbilt,PF,19.0,DEN,17.0,69.0,12.4,0.513,0.053,0.526,10.9,25.2,18.0,5.9,4.3,1.3,25.5,19.4,-0.1,0.1,0.1,0.037,-5.2,1,-4.2,0.0,vandeja01
,,,,2020,Jarred Vanderbilt,1.0,Jarred Vanderbilt,PF,20.0,TOT,11.0,46.0,7.6,0.676,0.125,0.25,7.3,14.5,10.9,5.9,3.2,2.0,44.1,14.9,-0.1,0.1,0.0,-0.026,-6.8,0.5,-6.3,-0.1,vandeja01
,,,,2021,Jarred Vanderbilt,1.0,Jarred Vanderbilt,PF,21.0,MIN,64.0,1139.0,16.2,0.612,0.021,0.432,10.8,24.7,17.5,9.3,2.7,3.5,15.9,12.3,1.6,1.5,3.1,0.132,-1.4,1.4,-0.1,0.5,vandeja01
,,,,2022,Jarred Vanderbilt,1.0,Jarred Vanderbilt,PF,22.0,MIN,74.0,1880.0,15.3,0.612,0.039,0.363,12.0,23.9,17.8,6.7,2.5,2.4,14.8,10.9,3.1,2.9,6.0,0.153,-0.8,1,0.2,1.1,vandeja01
,,,,2020,Jarrell Brantley,1.0,Jarrell Brantley,PF,23.0,UTA,9.0,96.0,8.0,0.416,0.464,0.071,2.4,19.9,11.5,15.8,1.5,4.3,19.5,16.3,-0.2,0.1,0.0,-0.006,-5.3,0.7,-4.6,-0.1,brantja01
,,,,2021,Jarrell Brantley,1.0,Jarrell Brantley,PF,24.0,UTA,28.0,138.0,16.6,0.605,0.538,0.038,7.2,13.3,10.4,16.1,2.5,1.2,13.1,19.0,0.3,0.2,0.5,0.172,0.6,1.6,2.2,0.1,brantja01
,,,,2019,Jarrett Allen,1.0,Jarrett Allen,C,20.0,BRK,80.0,2096.0,18.5,0.632,0.079,0.489,9.6,24.0,16.8,7.9,1.0,4.5,13.0,15.9,4.4,3.3,7.6,0.175,0.2,1.4,1.6,1.9,allenja01
,,,,2020,Jarrett Allen,1.0,Jarrett Allen,C,21.0,BRK,70.0,1852.0,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,5.2,2.9,8.2,0.212,1.4,1,2.3,2.0,allenja01
,,,,2021,Jarrett Allen,1.0,Jarrett Allen,C,22.0,TOT,63.0,1864.0,20.1,0.661,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,4.3,2.1,6.4,0.166,1.3,-0.2,1.1,1.4,allenja01
,,,,2022,Jarrett Allen,1.0,Jarrett Allen,C,23.0,CLE,56.0,1809.0,23.0,0.698,0.018,0.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,5.4,3.0,8.5,0.225,2.7,1.2,3.9,2.7,allenja01
,,,,2020,Jarrett Culver,1.0,Jarrett Culver,SG,20.0,MIN,63.0,1506.0,9.6,0.467,0.388,0.206,4.7,10.3,7.4,10.8,1.8,2.1,11.5,19.2,-1.2,1.1,-0.1,-0.004,-3.3,-0.7,-4,-0.8,culveja01
,,,,2021,Jarrett Culver,1.0,Jarrett Culver,SG,21.0,MIN,34.0,499.0,8.8,0.476,0.315,0.286,7.1,15.8,11.3,6.8,1.6,1.6,12.9,18.2,-0.4,0.3,-0.1,-0.006,-4.5,-1.1,-5.6,-0.5,culveja01
,,,,2022,Jarrett Culver,1.0,Jarrett Culver,SG,22.0,MEM,37.0,338.0,8.7,0.433,0.348,0.252,3.9,11.1,7.4,13.0,2.8,1.3,11.8,20.6,-0.4,0.5,0.1,0.012,-5.7,0.3,-5.4,-0.3,culveja01
,,,,2020,Jarrod Uthoff,1.0,Jarrod Uthoff,PF,26.0,TOT,7.0,53.0,8.8,0.503,0.5,0.111,4.0,8.6,6.1,0.0,0.9,0.0,0.0,14.8,0.0,0.0,0.0,0.018,-2.2,-2.4,-4.6,0.0,uthofja01
,,,,2022,Jarron Cumberland,1.0,Jarron Cumberland,SG,24.0,POR,3.0,12.0,8.4,0.5,0.5,0.0,8.8,19.0,13.7,11.6,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.079,-4.4,-2.2,-6.6,0.0,cumbeja01
,,,,2019,Jason Smith,1.0,Jason Smith,C-PF,32.0,TOT,20.0,190.0,9.8,0.492,0.441,0.271,9.0,20.2,14.6,9.7,0.7,3.1,16.4,17.5,0.0,0.2,0.2,0.038,-3.7,-1,-4.7,-0.1,smithja02
,,,,2022,Javin DeLaurier,1.0,Javin DeLaurier,C,23.0,MIL,1.0,3.0,15.6,,0.0,34.6,17.7,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.26,-4.8,11.8,7.0,0.0,delauja01,,,
,,,,2020,Javonte Green,1.0,Javonte Green,SG,26.0,BOS,48.0,468.0,13.1,0.564,0.262,0.333,5.6,15.6,10.6,7.7,2.5,1.6,13.7,15.3,0.4,0.8,1.1,0.113,-2.1,1.4,-0.7,0.2,greenja02
,,,,2021,Javonte Green,1.0,Javonte Green,SF-SG,27.0,TOT,41.0,473.0,12.1,0.61,0.294,0.392,6.1,10.6,8.3,4.8,2.9,1.1,13.7,12.6,0.5,0.6,1.1,0.107,-2.2,1.7,-0.5,0.2,greenja02
,,,,2022,Javonte Green,1.0,Javonte Green,SF,28.0,CHI,65.0,1519.0,14.0,0.637,0.311,0.295,6.8,13.6,10.2,5.3,2.2,1.8,7.6,11.5,2.9,1.5,4.4,0.139,-0.6,0.7,0.1,0.8,greenja02
