Rk,Player,2021/22,2021/22
278,Alperen Sengun,$3.214.680,$3.505.922
279,Jon Leuer,$3.169.348,$3.456.483
280,Trey Burke,$3.150.000,$3.435.382
281,Aleksej Pokusevski,$3.113.160,$3.395.204
282,Facundo Campazzo,$3.100.000,$3.380.852
283,Goga Bitadze,$3.098.400,$3.379.107
284,Trey Murphy,$3.053.760,$3.330.423
285,Frank Jackson,$3.000.000,$3.271.792
285,Sterling Brown,$3.000.000,$3.271.792
287,Josh Green,$2.957.520,$3.225.464
288,Tre Mann,$2.901.240,$3.164.085
289,Andrew Nicholson,$2.844.429,$3.102.127
290,Matisse Thybulle,$2.840.160,$3.097.471
291,Saddiq Bey,$2.824.320,$3.080.196
292,Kai Jones,$2.770.560,$3.021.566
293,Brandon Clarke,$2.726.880,$2.973.928
294,Precious Achiuwa,$2.711.280,$2.956.915
295,Marc Gasol,$2.692.991,$2.936.969
296,Jalen Johnson,$2.659.680,$2.900.640
297,Paul Millsap,$2.641.691,$2.881.021
297,E'Twaun Moore,$2.641.691,$2.881.021
297,Markieff Morris,$2.641.691,$2.881.021
297,Udonis Haslem,$2.641.691,$2.881.021
297,Dwight Howard,$2.641.691,$2.881.021
297,Trevor Ariza,$2.641.691,$2.881.021
297,Wayne Ellington,$2.641.691,$2.881.021
297,Carmelo Anthony,$2.641.691,$2.881.021
297,Avery Bradley,$2.641.691,$2.881.021
297,Enes Kanter,$2.641.691,$2.881.021
297,Andre Iguodala,$2.641.691,$2.881.021
297,Ed Davis,$2.641.691,$2.881.021
297,James Johnson,$2.641.691,$2.881.021
297,LaMarcus Aldridge,$2.641.691,$2.881.021
311,Grant Williams,$2.617.800,$2.854.966
312,Tyrese Maxey,$2.602.920,$2.838.738
313,Keon Johnson,$2.553.240,$2.784.557
314,Darius Bazley,$2.513.040,$2.740.715
315,Trey Lyles,$2.500.000,$2.726.493
316,Zeke Nnaji,$2.498.760,$2.725.141
317,Isaiah Jackson,$2.451.240,$2.673.316
318,Ty Jerome,$2.412.840,$2.631.437
319,Hassan Whiteside,$2.401.537,$2.619.110
319,Kent Bazemore,$2.401.537,$2.619.110
319,Austin Rivers,$2.401.537,$2.619.110
319,Andre Drummond,$2.401.537,$2.619.110
323,Cody Zeller,$2.389.641,$2.606.136
323,Ben McLemore,$2.389.641,$2.606.136
323,Solomon Hill,$2.389.641,$2.606.136
323,Tony Snell,$2.389.641,$2.606.136
323,Victor Oladipo,$2.389.641,$2.606.136
323,Otto Porter,$2.389.641,$2.606.136
329,Leandro Bolmaro,$2.353.320,$2.566.525
329,Usman Garuba,$2.353.320,$2.566.525
331,Willy Hernangomez,$2.327.220,$2.538.060
332,Edmond Sumner,$2.320.000,$2.530.186
333,Nassir Little,$2.316.240,$2.526.085
334,RJ Hampton,$2.303.040,$2.511.689
335,DeAndre Bembry,$2.271.045,$2.476.795
336,Josh Christopher,$2.259.240,$2.463.921
337,Monta Ellis,$2.245.400,$2.448.827
338,Drew Eubanks,$2.239.820,$2.442.742
339,Elfrid Payton,$2.239.544,$2.442.441
339,Rodney Hood,$2.239.544,$2.442.441
341,Dylan Windler,$2.239.200,$2.442.066
342,Immanuel Quickley,$2.210.640,$2.410.918
343,John Konchar,$2.200.000,$2.399.314
344,Quentin Grimes,$2.168.640,$2.365.113
345,Jordan Poole,$2.161.440,$2.357.261
346,Bol Bol,$2.161.152,$2.356.947
347,Keldon Johnson,$2.145.720,$2.340.117
348,Payton Pritchard,$2.137.440,$2.331.086
349,Jahlil Okafor,$2.130.023,$2.322.997
350,Bones Hyland,$2.096.880,$2.286.852
351,Raul Neto,$2.089.448,$2.278.746
351,Frank Kaminsky,$2.089.448,$2.278.746
351,Nemanja Bjelica,$2.089.448,$2.278.746
354,Udoka Azubuike,$2.075.880,$2.263.949
355,Jaden McDaniels,$2.063.280,$2.250.208
356,Malachi Flynn,$2.048.040,$2.233.587
357,DeMarcus Cousins,$2.038.942,$2.223.664
358,Cam Thomas,$2.036.280,$2.220.762
359,Desmond Bane,$2.033.160,$2.217.359
360,Jaden Springer,$2.023.680,$2.207.020
361,Day'Ron Sharpe,$2.009.160,$2.191.185
362,Abdel Nader,$2.000.000,$2.181.195
362,Kenrich Williams,$2.000.000,$2.181.195
362,Theo Maledon,$2.000.000,$2.181.195
362,Jeremiah Robinson-Earl,$2.000.000,$2.181.195
362,Jordan McLaughlin,$2.000.000,$2.181.195
362,Garrison Mathews,$2.000.000,$2.181.195
368,Santiago Aldama,$1.994.520,$2.175.218
369,Damian Jones,$1.977.011,$2.156.123
370,Wesley Matthews,$1.958.495,$2.135.929
371,Rodney McGruder,$1.939.350,$2.115.050
