RK,Player,2020/21,2020/21(*)
463,Kyle Singler,999200,1148477
464,Juan Toscano-Anderson,943963,1084987
465,Shaquille Harrison,915048,1051752
466,Chimezie Metu,910895,1046979
467,Anthony Gill,898310,1032514
467,Elijah Hughes,898310,1032514
467,Tre Jones,898310,1032514
467,CJ Elleby,898310,1032514
467,Isaiah Joe,898310,1032514
467,Sam Merrill,898310,1032514
467,Jordan Nwora,898310,1032514
467,Daniel Oturu,898310,1032514
467,KJ Martin,898310,1032514
467,Deividas Sirvydis,898310,1032514
477,Iman Shumpert,803044,923016
478,Theo Pinson,802182,922025
479,Yuta Watanabe,737996,848250
480,Tremont Waters,712278,818689
481,Frank Jackson,699115,803560
482,Rayjon Tucker,693755,797398
483,Tyler Cook,693141,796693
484,Garrison Mathews,688052,790844
485,Cole Aldrich,685340,787727
486,Shaun Livingston,666666,766263
487,Gabe Vincent,660750,759463
488,Tacko Fall,653924,751618
489,Max Strus,647098,743772
490,Alize Johnson,621587,714449
491,Anthony Tolliver,614838,706692
492,Paul Reed,609128,700129
493,Tim Frazier,597463,686721
494,Jordan Bell,592368,680865
495,Amir Coffey,578842,665319
496,Naji Marshall,538391,618824
497,Kyle Guy,537888,618246
498,Markus Howard,535294,615265
499,Skylar Mays,532218,611729
500,Mamadi Diakite,529341,608422
501,Nathan Knight,522989,601121
502,Jared Harper,520487,598245
503,Saben Lee,516836,594049
504,Jarrell Brantley,510586,586865
505,Jordan McLaughlin,503760,579020
506,Rondae Hollis-Jefferson,502957,578097
507,Reggie Perry,489148,562225
508,Trent Forrest,470690,541009
508,Cassius Stanley,470690,541009
510,Dakari Johnson,459414,528048
511,Cassius Winston,449115,516211
511,Jalen Harris,449115,516211
511,Keita Bates-Diop,449115,516211
511,Quinndary Weatherspoon,449115,516211
511,Keljin Blevins,449115,516211
511,Ty-Shon Alexander,449115,516211
511,Josh Hall,449115,516211
511,Jaylen Adams,449115,516211
511,Sean McDermott,449115,516211
511,Killian Tillie,449115,516211
511,Devontae Cacok,449115,516211
511,Kostas Antetokounmpo,449115,516211
511,Jay Scrubb,449115,516211
511,Nico Mannion,449115,516211
